,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_target_kl,params_vf_coef,state
0,0,-1659.8161239,2025-02-12 11:23:05.183743,2025-02-12 11:23:29.740171,0 days 00:00:24.556428,relu,12,0.15976798985470736,0.0022992908643172483,0.8765766243700099,0.9667120208015074,4.5494133143012764e-05,3.6661671071679476,7,11,tiny,0.1379660722408671,0.7753472288936052,COMPLETE
1,1,383.6829046,2025-02-12 11:23:29.741965,2025-02-12 11:23:53.722996,0 days 00:00:23.981031,tanh,11,0.23651318297698867,0.0004197671287973405,0.8497869815258334,0.9618959535984049,7.121512657429154e-05,4.992654676548731,5,8,small,0.028042694320489232,0.8963759466357502,COMPLETE
2,2,-210.64737889999998,2025-02-12 11:23:53.724783,2025-02-12 11:24:19.681055,0 days 00:00:25.956272,tanh,11,0.1757973996978765,0.03394867557884048,0.9220004014522787,0.9435784647553337,2.432301627356518e-05,2.3915150157987766,9,10,tiny,0.09397289905002491,0.768680594731301,COMPLETE
3,3,-10643.5579444,2025-02-12 11:24:19.682789,2025-02-12 11:24:42.395702,0 days 00:00:22.712913,relu,8,0.16452107622821513,0.00142833284528699,0.9435002852046677,0.938464029511486,0.00011480270562812721,2.4929314236675255,7,9,small,0.1877245524627252,0.46582123178350543,COMPLETE
4,4,335.23822759999996,2025-02-12 11:24:42.397647,2025-02-12 11:25:10.652141,0 days 00:00:28.254494,tanh,9,0.1338146309479994,0.020501263162037976,0.8220533790384449,0.9860060645080625,9.174681013076172e-05,2.234110714407615,8,9,small,0.1815501589435301,0.32743356781670463,COMPLETE
5,5,274.78389619999996,2025-02-12 11:25:10.653872,2025-02-12 11:25:34.103477,0 days 00:00:23.449605,tanh,10,0.2737710547056788,0.00011169754171863756,0.8124059418259935,0.908646519975928,0.0006247255479747332,4.870409424881796,3,7,small,0.010656625978788636,0.9607029828379845,COMPLETE
6,6,462.25275170000003,2025-02-12 11:25:34.105103,2025-02-12 11:25:59.351695,0 days 00:00:25.246592,tanh,12,0.25052825662061967,0.00015559497875295154,0.8700529771243267,0.9949113806422504,0.0003219931117632271,4.985629763774351,4,7,small,0.010737346891019989,0.17883999928730127,COMPLETE
7,7,125.50727399999998,2025-02-12 11:25:59.353655,2025-02-12 11:26:24.891968,0 days 00:00:25.538313,tanh,12,0.2902125072372782,0.00010450859133278071,0.9969731795817955,0.9984513778702574,0.0006416940266345744,0.7312982093578544,3,7,small,0.06802969326801403,0.10076465985118971,COMPLETE
8,8,-681.7082863,2025-02-12 11:26:24.894013,2025-02-12 11:26:52.156025,0 days 00:00:27.262012,relu,10,0.22388700474267464,0.007893838426229365,0.8969428760721879,0.9140849927705251,0.00023290014186279882,3.7399048441255838,5,12,tiny,0.05795919928459449,0.11324842384088296,COMPLETE
9,9,-733.6758072,2025-02-12 11:26:52.157690,2025-02-12 11:27:17.420844,0 days 00:00:25.263154,tanh,12,0.10254811929662257,0.0006091262917018721,0.9610679682512493,0.9803682779880148,1.2195950171524434e-05,0.8489761712934323,5,8,small,0.13161380211440848,0.34201041056420306,COMPLETE
10,10,481.49040399999996,2025-02-12 11:27:17.422613,2025-02-12 11:27:39.681361,0 days 00:00:22.258748,relu,11,0.25172873298053094,0.0893805886007215,0.865680403256215,0.927842599206358,0.00026008527907245174,3.7809008076112187,10,10,tiny,0.04746979897257918,0.6052087691402446,COMPLETE
11,11,294.57816829999996,2025-02-12 11:27:39.683079,2025-02-12 11:28:03.661348,0 days 00:00:23.978269,relu,11,0.25682838813460906,0.08713931555246715,0.8576925247397493,0.9281846532555696,0.00028351795983809735,3.9736800545268385,10,10,tiny,0.03902956935086772,0.5632022733459059,COMPLETE
12,12,-527.1260663999999,2025-02-12 11:28:03.663319,2025-02-12 11:28:27.560754,0 days 00:00:23.897435,relu,11,0.20454238054086957,0.006601254626634709,0.8873055603729791,0.9259968839845728,0.00025379229792936073,4.351649189966619,10,11,tiny,0.010130936013288953,0.6321471373474301,COMPLETE
13,13,-14556.262705299998,2025-02-12 11:28:27.562347,2025-02-12 11:28:51.601705,0 days 00:00:24.039358,relu,12,0.24939719519077322,0.00042158187731370386,0.8395242906795067,0.9559772968444736,0.000956298699385444,3.195673786800592,4,8,tiny,0.0754182164455621,0.2899990909770056,COMPLETE
14,14,406.4618236,2025-02-12 11:28:51.603383,2025-02-12 11:29:15.665699,0 days 00:00:24.062316,tanh,11,0.2939231450721672,0.005747038788615315,0.9203834380590293,0.9996171637985976,0.00017836527415340318,4.42464005877557,6,11,small,0.04352151563696382,0.43912185773834933,COMPLETE
15,15,229.1685583,2025-02-12 11:29:15.667367,2025-02-12 11:29:42.351815,0 days 00:00:26.684448,relu,9,0.21143698016182316,0.06852488915233418,0.8650333676252834,0.9233662224054193,0.0004280345522723969,3.145187759551354,8,9,tiny,0.0996617049588027,0.6786748414859731,COMPLETE
16,16,526.9197465,2025-02-12 11:29:42.354236,2025-02-12 11:30:05.136650,0 days 00:00:22.782414,relu,10,0.26505113704297284,0.014055419768716404,0.8018109581625583,0.9005187302596371,0.00014123696079705315,1.688009380194336,6,10,tiny,0.03055942419907943,0.23604388274636529,COMPLETE
17,17,372.065882,2025-02-12 11:30:05.138734,2025-02-12 11:30:30.715884,0 days 00:00:25.577150,relu,9,0.26939023140923946,0.019908368123847248,0.8069835087095766,0.9019273554997749,0.0001359571534985417,1.4361378085435232,8,10,tiny,0.12395843483283252,0.46820561453759335,COMPLETE
18,18,-472.671536,2025-02-12 11:30:30.718050,2025-02-12 11:30:55.263889,0 days 00:00:24.545839,relu,10,0.22716350544150907,0.03965860853899182,0.8340277806470539,0.9002488960567533,5.181957133650134e-05,1.8155436157012805,6,12,tiny,0.07853240906683635,0.22834480674871319,COMPLETE
19,19,-2783.3930935999997,2025-02-12 11:30:55.265906,2025-02-12 11:31:18.426520,0 days 00:00:23.160614,relu,10,0.18486879812363585,0.013102454949082113,0.805953184697515,0.9160874586688651,0.0001686203058122455,1.5472118639568453,9,11,tiny,0.04791800471703473,0.6015602421318565,COMPLETE
20,20,-66.63852159999999,2025-02-12 11:31:18.428615,2025-02-12 11:31:45.948601,0 days 00:00:27.519986,relu,8,0.28299142149051315,0.05392087318366136,0.913521399120413,0.9368864594210261,2.12627766037227e-05,0.3388392092922543,9,10,tiny,0.030768997007337526,0.4348078926247027,COMPLETE
21,21,593.922868,2025-02-12 11:31:45.950685,2025-02-12 11:32:11.098541,0 days 00:00:25.147856,tanh,11,0.25029518704055354,0.0013428688497268634,0.8773586819673248,0.9737321716603013,0.0003978269936564325,3.0843743291482104,4,9,small,0.021669409119943646,0.22132236813998024,COMPLETE
22,22,357.3578678,2025-02-12 11:32:11.100320,2025-02-12 11:32:34.367952,0 days 00:00:23.267632,relu,10,0.26246500003598117,0.001922561569422447,0.837830682978973,0.9759723736866254,0.00046527350939651384,3.1066477420604883,4,9,tiny,0.05524007796083238,0.22239476101083439,COMPLETE
23,23,497.5202619,2025-02-12 11:32:34.369802,2025-02-12 11:32:57.387056,0 days 00:00:23.017254,tanh,11,0.24017168907508998,0.0009922375544853825,0.8830823844643654,0.9464217099519702,0.00039576167118110235,1.9463800777562446,6,10,small,0.026833241762444948,0.36609810307225965,COMPLETE
24,24,435.44749110000004,2025-02-12 11:32:57.388799,2025-02-12 11:33:23.714863,0 days 00:00:26.326064,tanh,11,0.23748553650550422,0.001012456730168127,0.9430206415831867,0.9489566529021404,0.000949136681324846,2.010461034943642,6,9,small,0.027239424586236186,0.34385289606890695,COMPLETE
25,25,380.4337405,2025-02-12 11:33:23.716561,2025-02-12 11:33:50.916155,0 days 00:00:27.199594,tanh,9,0.2173034687096353,0.0035280922905258066,0.8865128091907419,0.9659702642540988,0.00042373988321878377,2.8664454718882295,5,8,small,0.15318530084249793,0.25760106425004864,COMPLETE
26,26,424.88928780000003,2025-02-12 11:33:50.917873,2025-02-12 11:34:17.506372,0 days 00:00:26.588499,tanh,10,0.19620999751477453,0.0008742323225862705,0.9033952734438248,0.9730754311263959,0.0005546947046248586,1.1016558368006948,7,10,small,0.025206454485633162,0.17340283340262747,COMPLETE
27,27,356.100977,2025-02-12 11:34:17.508028,2025-02-12 11:34:43.605044,0 days 00:00:26.097016,tanh,11,0.2355747733520195,0.0033903189397906314,0.8269486987082136,0.9869491998692212,0.00019867126148360095,2.753320346332202,6,11,small,0.0632786204936668,0.3773868203394867,COMPLETE
28,28,384.2703666,2025-02-12 11:34:43.606725,2025-02-12 11:35:06.241920,0 days 00:00:22.635195,tanh,10,0.27601761388648804,0.0003492405480881688,0.9887410567627806,0.9554293585790117,0.00036237973847489996,1.8854388938940476,4,9,small,0.0830194491287576,0.39256517945832226,COMPLETE
29,29,241.19100910000003,2025-02-12 11:35:06.243515,2025-02-12 11:35:32.062164,0 days 00:00:25.818649,tanh,11,0.2437076542764839,0.0019301939455871546,0.8813382417925457,0.9698740655348527,8.028755149311397e-05,1.4867020066889542,7,11,small,0.1188649018355195,0.17147292529907418,COMPLETE
30,30,-436.26681499999995,2025-02-12 11:35:32.064042,2025-02-12 11:35:56.898808,0 days 00:00:24.834766,tanh,12,0.29982429677613176,0.00021050698635355898,0.8492703657114391,0.9628761938534953,5.308048063746338e-05,2.2161466131407597,3,10,small,0.16110234387763206,0.5133241358257195,COMPLETE
31,31,185.14020399999998,2025-02-12 11:35:56.900400,2025-02-12 11:36:21.662011,0 days 00:00:24.761611,relu,11,0.25868553226763263,0.0011020392557093163,0.87340413851991,0.9333616167252113,0.00015836326051631034,3.4812910955192558,7,10,tiny,0.0393072026848228,0.719268420715756,COMPLETE
32,32,-236.4273706,2025-02-12 11:36:21.664245,2025-02-12 11:36:41.612750,0 days 00:00:19.948505,relu,11,0.2676908998522848,0.002798319040611991,0.8535901066155973,0.946778055620249,0.0003150231240536279,3.4223097072819937,5,10,tiny,0.023390590500029996,0.2829400923818971,COMPLETE
33,33,422.6823945,2025-02-12 11:36:41.614907,2025-02-12 11:37:06.416162,0 days 00:00:24.801255,relu,10,0.23251310351173962,0.011850090526638114,0.8990460224262514,0.9557282125905462,0.00010990114432174958,3.978159019095391,6,9,tiny,0.052659279817529825,0.5401402618093746,COMPLETE
34,34,-193.9348414,2025-02-12 11:37:06.418160,2025-02-12 11:37:29.656084,0 days 00:00:23.237924,relu,11,0.282091360790925,0.028481428905558905,0.9362245917009557,0.9199927312080746,0.0007749345918173151,2.6268424216574844,8,10,tiny,0.03378569865230141,0.8174962155843041,COMPLETE
35,35,-30.114840000000004,2025-02-12 11:37:29.658523,2025-02-12 11:37:52.217255,0 days 00:00:22.558732,tanh,12,0.24885001154102232,0.005001223351299468,0.8479485505844321,0.9429069635744822,0.00023838315713119973,2.3515386255881436,5,11,small,0.08992272365482364,0.8402121102595292,COMPLETE
36,36,484.98379940000007,2025-02-12 11:37:52.218991,2025-02-12 11:38:18.500602,0 days 00:00:26.281611,tanh,11,0.19203775405534754,0.0006583082233532695,0.8627799012364944,0.9314493410914728,0.00013696692981830411,2.914316390832092,7,9,small,0.021006164602041535,0.29948890356356583,COMPLETE
