,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_target_kl,params_vf_coef,user_attrs_gamma,state
0,0,-inf,2025-02-02 21:56:06.025361,2025-02-02 21:56:13.454663,0 days 00:00:07.429302,relu,10,0.2444795103965902,0.00013845106693410823,0.9719578850374324,0.9208307188203599,0.0001316673670009238,1.6313583165660748,9,7,small,0.07988746862678907,0.645762808952771,0.9208307188203599,COMPLETE
1,1,-inf,2025-02-02 21:56:13.455342,2025-02-02 21:56:19.016150,0 days 00:00:05.560808,relu,9,0.16035698662763365,0.013089487293836367,0.9654978216823527,0.9950884839526737,0.004535564127657735,1.0720643443099607,3,9,small,0.1757597989510073,0.2643987741051995,0.9950884839526737,COMPLETE
2,2,-inf,2025-02-02 21:56:19.016896,2025-02-02 21:56:30.867749,0 days 00:00:11.850853,tanh,6,0.12789697081802115,0.0730060486031124,0.9314798063914316,0.9275535405919326,0.0002693519887434544,4.477020603114784,3,11,small,0.11537430370875944,0.30761782493129963,0.9275535405919326,COMPLETE
3,3,-inf,2025-02-02 21:56:30.868445,2025-02-02 21:56:37.110573,0 days 00:00:06.242128,tanh,10,0.1406007971887102,0.03625276573848143,0.8273274299637176,0.9387685997015307,0.00025838745268546567,1.4843386280198527,10,10,small,0.1600064090145339,0.9804500657912849,0.9387685997015307,COMPLETE
4,4,-inf,2025-02-02 21:56:37.111242,2025-02-02 21:56:42.530055,0 days 00:00:05.418813,relu,6,0.2131104066774469,0.0029106513473068905,0.8477674989281868,0.9422417119432276,0.008503203578115815,3.562245651129592,7,11,tiny,0.12459849326808602,0.24828616077460897,0.9422417119432276,COMPLETE
5,5,-inf,2025-02-02 21:56:42.530803,2025-02-02 21:56:50.981980,0 days 00:00:08.451177,relu,8,0.286516176468873,0.0001240031036892324,0.9954622597242827,0.9013480930427397,0.0001036677248533952,2.447867643068085,10,7,tiny,0.024845957864203294,0.6858000586160972,0.9013480930427397,COMPLETE
6,6,-inf,2025-02-02 21:56:50.982687,2025-02-02 21:56:59.500735,0 days 00:00:08.518048,relu,10,0.25988270853908224,0.00011963551150650775,0.9090249507854304,0.9003022269175798,0.001414212476007246,0.5730708701432818,7,7,small,0.04838425582086166,0.6538508894952214,0.9003022269175798,COMPLETE
7,7,-inf,2025-02-02 21:56:59.501429,2025-02-02 21:57:05.220027,0 days 00:00:05.718598,relu,8,0.223371783071961,0.0009763003180380508,0.9979798074320541,0.9785210263945675,0.0008329667893157495,2.36122690278596,8,8,small,0.06170973516574606,0.9203757524661993,0.9785210263945675,COMPLETE
8,8,-inf,2025-02-02 21:57:05.220651,2025-02-02 21:57:22.418675,0 days 00:00:17.198024,tanh,5,0.25290652188839163,0.0006234572890505979,0.8708975960744698,0.963838018663002,0.00011644569735367657,3.317397203872006,5,9,tiny,0.08023840407686314,0.46351555676860057,0.963838018663002,COMPLETE
9,9,-inf,2025-02-02 21:57:22.419380,2025-02-02 21:57:37.922413,0 days 00:00:15.503033,relu,9,0.1713391431142508,0.0005412942577605827,0.9398691929936014,0.92092961104615,0.0009762528098415849,1.6671378937699664,9,12,small,0.015144274669207786,0.7789132390007516,0.92092961104615,COMPLETE
