,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_target_kl,params_vf_coef,state
0,0,-inf,2025-02-02 22:16:50.171098,2025-02-02 22:16:50.172516,0 days 00:00:00.001418,tanh,223,0.2582976806872648,0.00809585452216572,0.9172185714722079,0.99168265512776,0.00013214422489107904,2.9053390313583507,4,76,small,0.1680616254803406,0.7267514856276112,COMPLETE
1,1,-inf,2025-02-02 22:16:50.173423,2025-02-02 22:16:50.174046,0 days 00:00:00.000623,tanh,134,0.15424426774594158,0.0015345452052213026,0.8264659662555225,0.9975331010852875,2.503493891428197e-05,2.7024385852160844,6,253,small,0.061840629887704904,0.8365144935132571,COMPLETE
2,2,-inf,2025-02-02 22:16:50.174624,2025-02-02 22:16:50.175748,0 days 00:00:00.001124,relu,152,0.23504260243958647,0.0003678561960240907,0.8384352775959678,0.9596170108704095,0.00010503589417699079,3.443469972642518,5,198,tiny,0.07479325997819117,0.6278933550084086,COMPLETE
3,3,-inf,2025-02-02 22:16:50.176512,2025-02-02 22:16:50.177440,0 days 00:00:00.000928,tanh,74,0.2716881385535566,0.00010301807033264357,0.8465288837975196,0.9307198537666513,0.00013363040783120038,4.526756492842194,10,255,small,0.16926960100967822,0.9854146634276969,COMPLETE
4,4,-inf,2025-02-02 22:16:50.178151,2025-02-02 22:16:50.179382,0 days 00:00:00.001231,tanh,36,0.19877086067050814,1.5889220898477126e-05,0.9652389642033671,0.9186970255588082,1.5784588285601616e-05,3.3773625061299715,1,160,tiny,0.029499384916572502,0.8223971765893336,COMPLETE
5,5,-inf,2025-02-02 22:16:50.180382,2025-02-02 22:16:50.220645,0 days 00:00:00.040263,relu,247,0.2935750489003694,0.005120570520482474,0.9290252666248386,0.990002725358965,0.0008942349316253743,0.5958208884013652,3,43,small,0.18091592727470432,0.54071247150202,COMPLETE
6,6,-inf,2025-02-02 22:16:50.221854,2025-02-02 22:16:50.245258,0 days 00:00:00.023404,tanh,252,0.10602247963408844,0.00905876748729034,0.902193395128984,0.9630636573467076,0.0004476529846074353,1.6455110111093314,7,55,small,0.13203027217747354,0.6936921375535737,COMPLETE
7,7,-inf,2025-02-02 22:16:50.246277,2025-02-02 22:16:50.269219,0 days 00:00:00.022942,tanh,178,0.23674324965446547,0.0009118908366185763,0.9789303998346266,0.9754547466699391,0.00028177959966199027,4.895926804279307,3,98,small,0.13973658210851586,0.780101715682779,COMPLETE
8,8,-inf,2025-02-02 22:16:50.270063,2025-02-02 22:16:50.290200,0 days 00:00:00.020137,relu,193,0.19327284357527352,6.363550427588235e-05,0.8826378657316712,0.9009972594335498,3.4988547293377045e-05,2.1191155108171875,9,16,tiny,0.11154722509855278,0.9292675482821231,COMPLETE
9,9,-inf,2025-02-02 22:16:50.290924,2025-02-02 22:16:50.311385,0 days 00:00:00.020461,tanh,208,0.2577932558934748,0.0021213374927733166,0.9273718237964572,0.9393856597619331,5.4624088191734125e-05,3.662548879565234,4,110,small,0.19642137088127337,0.5046784452884217,COMPLETE
