#{"t_start": 1736976260.7426088, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
150.0,1989,1.696086
155.0,1913,2.193628
210.0,2685,2.920132
105.0,1785,3.409134
90.0,1339,3.777683
285.0,3137,4.572287
135.0,2337,5.213339
275.0,3061,5.991057
210.0,2767,6.696861
30.0,1521,7.093245
85.0,1199,7.404024
80.0,2303,8.007381
355.0,1893,8.491849
135.0,2135,9.039463
105.0,1525,9.431313
260.0,2673,10.119492
55.0,1659,10.562271
105.0,1495,12.512772
115.0,2335,13.117879
105.0,1875,13.600873
195.0,1987,14.149487
110.0,2057,15.143062
75.0,1193,15.494029
120.0,2037,16.064721
105.0,1719,16.523777
100.0,1275,16.908301
410.0,2473,17.557356
155.0,2089,18.119916
135.0,2937,18.920835
210.0,2305,19.526164
35.0,1461,19.915514
105.0,1901,20.425012
80.0,1901,20.917685
125.0,1623,21.338426
170.0,2521,21.994764
180.0,2385,22.635966
80.0,1977,23.178468
110.0,2231,23.781701
60.0,1515,24.176928
45.0,1723,24.629146
60.0,1205,24.950428
105.0,1935,25.445818
135.0,2397,28.415901
160.0,2889,29.131722
240.0,2713,29.852023
220.0,2239,30.427211
210.0,2863,31.167679
180.0,1937,31.694026
200.0,2433,32.349663
185.0,3367,37.005822
210.0,2467,37.713775
170.0,2791,38.468925
45.0,1501,38.881533
185.0,2549,39.563857
410.0,2491,40.233024
155.0,1953,40.758919
155.0,1875,41.283532
50.0,1067,41.574353
275.0,3581,44.082784
45.0,1189,44.46056
210.0,2799,45.709468
185.0,2401,46.416039
225.0,2687,47.145294
180.0,2457,47.835623
95.0,2367,48.492513
110.0,1489,48.939846
135.0,1851,49.44684
35.0,1483,49.861679
50.0,1847,50.363087
215.0,2375,51.00534
180.0,2401,51.655326
145.0,2561,52.353214
100.0,1531,52.776304
80.0,1553,53.216638
20.0,1147,53.537994
65.0,1967,54.068795
90.0,2113,54.638914
155.0,2333,55.267503
120.0,1781,55.773012
120.0,2133,56.356636
130.0,1601,56.791448
190.0,2773,57.542869
55.0,1845,58.050998
135.0,1823,58.570986
245.0,2295,59.20948
70.0,1565,59.652407
135.0,1951,60.193623
105.0,1857,60.711467
20.0,1263,61.070961
150.0,2541,61.735631
210.0,2427,62.408118
50.0,1209,62.73082
240.0,2839,63.503353
200.0,1639,63.937157
210.0,1911,64.453408
50.0,1239,64.779928
120.0,1781,65.289366
80.0,1813,65.773288
80.0,1269,66.11232
110.0,1323,66.47019
125.0,2025,70.339197
135.0,1791,70.830009
240.0,3519,71.773117
45.0,1191,72.093946
115.0,2917,72.889834
110.0,1587,73.65583
150.0,2157,75.842704
210.0,2463,76.522917
50.0,1245,76.851421
110.0,2267,77.461827
120.0,2027,78.001953
80.0,1483,78.394649
180.0,2357,79.046049
240.0,2895,79.807379
105.0,1875,80.297289
20.0,1163,80.605168
170.0,2051,81.142358
235.0,2391,81.775695
120.0,1487,82.164412
160.0,1983,82.690913
90.0,1965,83.208092
260.0,3123,84.02361
135.0,1933,84.548917
190.0,2087,85.122238
