,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_buffer_size,params_exploration_fraction,params_gamma,params_gradient_steps,params_learning_rate,params_learning_starts,params_max_grad_norm,params_net_arch,params_target_update_interval,params_tau,params_train_freq,user_attrs_gamma,state
0,0,-582.1585819,2025-01-18 06:56:36.277720,2025-01-18 06:56:47.927071,0 days 00:00:11.649351,relu,5,4,0.1918808071719969,0.9231589537032621,2,0.003751853677471904,10,3.5683557493418587,tiny,5,0.9829850819935138,20,0.9231589537032621,COMPLETE
1,1,-851.4004392999999,2025-01-18 06:56:47.928406,2025-01-18 06:56:59.908065,0 days 00:00:11.979659,tanh,6,7,0.3500446211746506,0.9262257754033468,3,0.0020687236670651732,6,1.684090516435558,small,4,0.7821486630319268,25,0.9262257754033468,COMPLETE
2,2,-591.3214547000001,2025-01-18 06:56:59.909249,2025-01-18 06:57:10.604984,0 days 00:00:10.695735,relu,4,3,0.24964856275019898,0.9641486317245226,4,0.00027167366132099335,5,2.1630935172793953,small,5,0.7974003267905426,138,0.9641486317245226,COMPLETE
3,3,-244.4214536,2025-01-18 06:57:10.606001,2025-01-18 06:57:21.510093,0 days 00:00:10.904092,tanh,7,4,0.19865853311716747,0.9918267613365753,4,1.998604167535845e-05,4,3.5134917440796376,tiny,7,0.7771071206468511,74,0.9918267613365753,COMPLETE
4,4,-587.9247116,2025-01-18 06:57:21.511334,2025-01-18 06:57:32.263881,0 days 00:00:10.752547,tanh,3,5,0.28904414220331354,0.9125038864975397,1,0.02137105732972489,6,2.431631370214745,small,5,0.9663002721147659,193,0.9125038864975397,COMPLETE
5,5,-151.9602759,2025-01-18 06:57:32.264903,2025-01-18 06:57:43.181943,0 days 00:00:10.917040,tanh,9,6,0.08577506502546263,0.9968108761553761,4,1.4818913038926404e-05,3,4.862157105461713,tiny,7,0.8627020327307161,91,0.9968108761553761,COMPLETE
6,6,-133.7984916,2025-01-18 06:57:43.182940,2025-01-18 06:57:53.945121,0 days 00:00:10.762181,tanh,10,7,0.05420820470393652,0.9931871242665404,3,3.03637575132083e-05,9,4.906101401725818,tiny,7,0.884458382259676,108,0.9931871242665404,COMPLETE
7,7,-628.5495296000001,2025-01-18 06:57:53.946213,2025-01-18 06:57:59.545734,0 days 00:00:05.599521,tanh,10,7,0.47789370137592846,0.9646989607253277,2,0.8531261733065354,9,0.5529280251545701,tiny,3,0.9013301772738628,131,0.9646989607253277,PRUNED
8,8,-949.2516978,2025-01-18 06:57:59.546414,2025-01-18 06:58:06.314100,0 days 00:00:06.767686,relu,8,6,0.08498452195400671,0.9766811042283786,3,0.00021560840914477147,8,4.951906902208425,tiny,7,0.8914831971182738,172,0.9766811042283786,PRUNED
9,9,-396.48234130000003,2025-01-18 06:58:06.315424,2025-01-18 06:58:16.718808,0 days 00:00:10.403384,tanh,10,6,0.051864261130509515,0.9416611137654384,1,0.151542939183147,8,3.8512448505834556,tiny,6,0.84996613629851,60,0.9416611137654384,COMPLETE
10,10,-1116.3431403999998,2025-01-18 06:58:16.720124,2025-01-18 06:58:24.063062,0 days 00:00:07.342938,relu,8,7,0.42209260953599587,0.945926638929244,3,0.00015415741227474145,10,1.1653440586607857,small,6,0.934729256290748,119,0.945926638929244,PRUNED
11,11,-128.7120703,2025-01-18 06:58:24.064018,2025-01-18 06:58:34.358164,0 days 00:00:10.294146,tanh,9,6,0.11244686726264995,0.9970222441628329,4,1.2687905994067826e-05,3,4.9838750646256305,tiny,7,0.8415691405042036,86,0.9970222441628329,COMPLETE
