,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_target_kl,params_vf_coef,user_attrs_gamma,state
0,0,485.41341750000004,2025-02-03 15:48:08.901776,2025-02-03 15:48:39.477889,0 days 00:00:30.576113,tanh,9,0.2895765022794614,0.0005852582945827783,0.8555542289819047,0.9558032196570682,0.00025975472876547245,1.5611228539351654,3,10,small,0.13586868540501923,0.16174569293825652,0.9558032196570682,COMPLETE
1,1,-87.28859249999998,2025-02-03 15:48:39.479699,2025-02-03 15:49:14.494640,0 days 00:00:35.014941,tanh,10,0.13614294947265163,0.008737962734929714,0.9341243023348113,0.9674394676313652,0.00011842578419313665,4.4851361938487395,6,12,tiny,0.1858267632016751,0.7787234364282358,0.9674394676313652,COMPLETE
2,2,-583.2936463,2025-02-03 15:49:14.496443,2025-02-03 15:49:44.310039,0 days 00:00:29.813596,tanh,10,0.20171212024710655,0.01161764145526326,0.8547282169680273,0.9927921064222962,5.4478075869617096e-05,3.395863094799696,3,9,tiny,0.15545738399916176,0.5191451390930235,0.9927921064222962,COMPLETE
3,3,484.57482719999996,2025-02-03 15:49:44.311786,2025-02-03 15:50:16.590863,0 days 00:00:32.279077,tanh,12,0.20515717552797094,0.0006260089999841267,0.9714375601722138,0.9039622163733815,8.776695146915666e-05,3.962474769522947,9,8,small,0.049861169197241956,0.5399971657451066,0.9039622163733815,COMPLETE
4,4,263.2412406,2025-02-03 15:50:16.592493,2025-02-03 15:50:44.323086,0 days 00:00:27.730593,tanh,12,0.2503211491190106,0.00470853390946519,0.9466158676866074,0.9683126007670577,0.0003685236472878151,4.493932221006856,3,11,small,0.05194100746801398,0.7786392084578453,0.9683126007670577,COMPLETE
5,5,212.93982569999997,2025-02-03 15:50:44.325156,2025-02-03 15:51:15.312257,0 days 00:00:30.987101,relu,8,0.29784726723699334,0.00010378717825839637,0.8094729958973393,0.9324094475614475,1.0520766254723827e-05,1.0488296479195311,6,10,small,0.12325812185216795,0.10071727926115015,0.9324094475614475,COMPLETE
6,6,-1572.4590087,2025-02-03 15:51:15.313987,2025-02-03 15:51:44.639340,0 days 00:00:29.325353,relu,8,0.2984029675289231,0.09313244424355831,0.8765895128511164,0.9370517168055668,0.0009943142096533605,1.4819290210103035,10,7,small,0.10545057860698409,0.10155089328733695,0.9370517168055668,COMPLETE
7,7,542.5804199,2025-02-03 15:51:44.641190,2025-02-03 15:52:15.413270,0 days 00:00:30.772080,tanh,9,0.12110381401816847,0.0005549574959960524,0.8068047250423209,0.9992634876040131,0.00029084561275296076,2.333903753684476,5,10,small,0.014948004364139317,0.3342506037339024,0.9992634876040131,COMPLETE
8,8,-6763.770492600001,2025-02-03 15:52:15.415051,2025-02-03 15:52:46.237770,0 days 00:00:30.822719,relu,9,0.10450770906172702,0.001007716354013793,0.8013831943248505,0.9996421580741354,2.0025849210565758e-05,2.6546649328311203,5,12,tiny,0.013296213035549502,0.3739111369483715,0.9996421580741354,COMPLETE
9,9,567.1425185999999,2025-02-03 15:52:46.239410,2025-02-03 15:53:17.182796,0 days 00:00:30.943386,tanh,11,0.16653460450139132,0.00020229747364857673,0.9104507783648649,0.976611170686734,0.0008663470163481451,2.4522910341175446,8,9,small,0.06803869468317975,0.9848870898554305,0.976611170686734,COMPLETE
10,10,-366208.68450790003,2025-02-03 15:53:17.184507,2025-02-03 15:53:44.753493,0 days 00:00:27.568986,relu,11,0.16305856088912676,0.05421832439809304,0.9079867412150269,0.9787007934647134,0.0008597510268852517,0.3631996029341171,8,8,tiny,0.07572643616183469,0.9964917001902182,0.9787007934647134,COMPLETE
11,11,580.7532982,2025-02-03 15:53:44.755073,2025-02-03 15:54:16.529142,0 days 00:00:31.774069,tanh,11,0.15912970102995322,0.00010483768668156966,0.9126431915987382,0.984539908766086,0.000356571072637618,2.5834241702108143,8,9,small,0.010563325333473145,0.34010046193922,0.984539908766086,COMPLETE
12,12,558.4131859,2025-02-03 15:54:16.530914,2025-02-03 15:54:47.824732,0 days 00:00:31.293818,tanh,11,0.16382031318320284,0.00010053847573126596,0.9087641432290876,0.9782970058853034,0.0005766265694177021,2.7232653628031165,8,9,small,0.06982395575922687,0.7733143897428625,0.9782970058853034,COMPLETE
13,13,489.0089890000001,2025-02-03 15:54:47.826672,2025-02-03 15:55:20.334072,0 days 00:00:32.507400,tanh,11,0.16691359680925413,0.00023185600099118406,0.9974162021064065,0.9824269237149734,0.0001793961311479639,3.4172669385529835,8,8,small,0.03750126328493421,0.9431985866426296,0.9824269237149734,COMPLETE
14,14,423.31111919999995,2025-02-03 15:55:20.335877,2025-02-03 15:55:52.770379,0 days 00:00:32.434502,tanh,11,0.23146240442856825,0.0002077542953807607,0.9334941959441381,0.9548244530092965,0.0004714424017486125,2.091876195934139,10,9,small,0.08237866745813818,0.3034112531467279,0.9548244530092965,COMPLETE
15,15,505.17696680000006,2025-02-03 15:55:52.772031,2025-02-03 15:56:25.019004,0 days 00:00:32.246973,tanh,12,0.14411473553606374,0.001627914130284039,0.8833429631384504,0.9652066447410377,0.0005794569931298554,3.1840812691933658,7,7,small,0.02949054084462542,0.6179926830595425,0.9652066447410377,COMPLETE
16,16,214.57450060000002,2025-02-03 15:56:25.020977,2025-02-03 15:56:56.767262,0 days 00:00:31.746285,tanh,10,0.18366147786345807,0.00029046406409791154,0.9528737239312843,0.9394405233177311,0.000166534782447768,1.9860082765209854,9,11,small,0.0950843813164835,0.4559628427214074,0.9394405233177311,COMPLETE
17,17,233.34157409999997,2025-02-03 15:56:56.770065,2025-02-03 15:57:28.793557,0 days 00:00:32.023492,tanh,11,0.22504617489850526,0.0020270857832091677,0.9153746752220695,0.986766551907139,3.438971932988945e-05,2.98703021205121,7,8,small,0.06055430580453812,0.25380536315319124,0.986766551907139,COMPLETE
18,18,105.93851019999997,2025-02-03 15:57:28.795498,2025-02-03 15:57:56.626234,0 days 00:00:27.830736,relu,12,0.18079443613449978,0.0002340857547457754,0.8836581734699412,0.9130169799546227,0.0007383820885714216,3.76285323156256,9,9,tiny,0.02821116170335037,0.6383767910635587,0.9130169799546227,COMPLETE
19,19,-139.51731339999998,2025-02-03 15:57:56.628168,2025-02-03 15:58:28.906094,0 days 00:00:32.277926,tanh,11,0.14623315844662324,0.023204879154751744,0.8502879209271046,0.9741419281821869,0.00020936263242753568,0.6878200903375804,7,11,small,0.09707797256339196,0.8572699243350522,0.9741419281821869,COMPLETE
20,20,573.0062356000001,2025-02-03 15:58:28.908111,2025-02-03 15:58:58.929690,0 days 00:00:30.021579,tanh,10,0.12250157295412922,0.00010203547324312634,0.9809412761298056,0.9887725809589584,0.00045639896953913957,1.5854841625694585,5,10,small,0.1971564449313848,0.662565841283794,0.9887725809589584,COMPLETE
21,21,-19.279589899999998,2025-02-03 15:58:58.931354,2025-02-03 15:59:27.815653,0 days 00:00:28.884299,tanh,10,0.10419697558747915,0.00011009694398542047,0.9949396213293469,0.9883621886575285,0.0004095717454540794,1.762753635649253,5,10,small,0.17771010373335822,0.6488255372549837,0.9883621886575285,COMPLETE
22,22,563.831221,2025-02-03 15:59:27.821602,2025-02-03 15:59:58.303606,0 days 00:00:30.482004,tanh,10,0.1270280432725288,0.00039096437649971584,0.9738563938825512,0.9909399970871243,0.0003571413013485993,2.336799168108378,4,9,small,0.16154425137704434,0.41489905325520005,0.9909399970871243,COMPLETE
23,23,669.6939596,2025-02-03 15:59:58.305345,2025-02-03 16:00:29.803520,0 days 00:00:31.498175,tanh,10,0.15247146447858756,0.00017106771534852204,0.9284293803518315,0.9595334803327593,0.0006440700528750355,1.1421017563147962,6,10,small,0.19795582328410327,0.8697801969581918,0.9595334803327593,COMPLETE
24,24,25.753148499999988,2025-02-03 16:00:29.805389,2025-02-03 16:01:02.042084,0 days 00:00:32.236695,tanh,9,0.1162801552167477,0.0001497288214452452,0.9772688730412123,0.9603534103028627,0.00011910480245691243,1.1028405877385716,6,11,small,0.1927535152839762,0.8697310128574035,0.9603534103028627,COMPLETE
25,25,498.85554759999997,2025-02-03 16:01:02.043742,2025-02-03 16:01:31.921449,0 days 00:00:29.877707,tanh,10,0.1440526351740977,0.0009739232796950848,0.9290365442939647,0.9492639473523128,0.000563428734396272,1.0698580666926234,4,10,small,0.19935327338306896,0.705595158457235,0.9492639473523128,COMPLETE
26,26,-10588.6857458,2025-02-03 16:01:31.923471,2025-02-03 16:02:00.706742,0 days 00:00:28.783271,relu,10,0.1816965096517785,0.00037564039803561125,0.9554521230835953,0.9256476585663648,0.00026533463406476667,1.3895299038972824,4,10,tiny,0.16818204373401974,0.49102139396582534,0.9256476585663648,COMPLETE
27,27,-18.6645351,2025-02-03 16:02:00.708749,2025-02-03 16:02:32.251077,0 days 00:00:31.542328,tanh,9,0.1513483279454058,0.00014945352421679014,0.8926128195689982,0.9464623088530435,7.985041521568187e-05,0.4866029435456747,5,11,small,0.14236800110447057,0.8895483826053231,0.9464623088530435,COMPLETE
28,28,503.7865328,2025-02-03 16:02:32.253118,2025-02-03 16:03:01.885983,0 days 00:00:29.632865,tanh,10,0.12970304386821097,0.0004015549259074843,0.9645525717066067,0.9722935591596077,0.0006448414928491336,0.7589417924394846,6,10,small,0.17442096779987246,0.5844625851026195,0.9722935591596077,COMPLETE
29,29,637.1368311,2025-02-03 16:03:01.887719,2025-02-03 16:03:32.743966,0 days 00:00:30.856247,tanh,9,0.266447773910671,0.0008240007223241101,0.8702084706496467,0.9599352115278903,0.00022321174423392816,1.3410158677800894,7,11,small,0.12596281034795298,0.26003743312180566,0.9599352115278903,COMPLETE
